datetime,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66
2016-04-01 05:00:00,0.146666667,0,0.297777778,0.382222222,0.053333333,0.066666667,0.568888889,0.457777778,0.102222222,0.271111111,0.373333333,1,0.493333333,0.573333333,0.568888889,0.395555556,0.346666667,0.524444444,0.244444444,0.875555556,0.262222222,0.853333333,0.328888889,0.844444444,0.382222222,0.2,0,0.4,0.364444444,0.097777778,0.133333333,0.151111111,0.04,0,0.573333333,0.026666667,0.262222222,0.311111111,0.688888889,0.511111111,0,0.671111111,0.351111111,0.697777778,0.4,0.382222222,0.173333333,0.857777778,0.146666667,0.24,0,0.262222222,0.2,0,0.435555556,0.382222222,0.244444444,0,0.364444444,0.115555556,0.115555556,0.222222222,0.004444444,0.684444444,0.311111111,0.284444444
2016-04-01 05:15:00,0.697777778,0,0.373333333,0.555555556,0.275555556,0.226666667,0.431111111,0.195555556,0.4,0.102222222,0.871111111,0.875555556,0.524444444,0,0.617777778,0.946666667,0.773333333,0,0.395555556,0.382222222,0.391111111,1,0.368888889,0.591111111,0.266666667,0.417777778,0,0.835555556,0.133333333,0.337777778,0.586666667,0.862222222,0.266666667,0,1,1,0.444444444,0.088888889,0.053333333,0.622222222,0.662222222,0.586666667,0.137777778,1,0.542222222,0.262222222,0.595555556,1,0.528888889,0.52,0.595555556,0.302222222,0.106666667,0.302222222,0.177777778,1,0.008888889,0,0.262222222,0.284444444,0.742222222,0.297777778,0,0.844444444,0.2,0.608888889
2016-04-01 05:30:00,0.266666667,0.4,0.2,0.28,0.377777778,0,1,0.342222222,0.351111111,0.448888889,0.871111111,1,1,0,0.382222222,0.582222222,0.791111111,0.422222222,0.404444444,0.213333333,0.755555556,0.293333333,1,0.297777778,0.111111111,0.342222222,0,0.431111111,0.373333333,0,0.213333333,0.284444444,0.76,0.56,1,1,0.582222222,0.52,0.853333333,0.577777778,0.106666667,0.324444444,0.084444444,0.626666667,0.333333333,0.266666667,0.08,1,0,0.222222222,0.4,0.786666667,0.404444444,0.062222222,0.497777778,0.493333333,0.164444444,0.231111111,0.053333333,0.075555556,0.382222222,0.137777778,0.435555556,0.195555556,0.217777778,0.573333333
2016-04-01 05:45:00,1,0.635555556,0.737777778,0.951111111,0.706666667,0.773333333,1,0.875555556,0.933333333,1,1,1,0.933333333,0.608888889,0.711111111,1,1,0.8,1,1,0.951111111,0.688888889,0.951111111,1,0.728888889,0.977777778,0.693333333,1,1,0.737777778,0.857777778,0.497777778,0.657777778,0.724444444,1,1,1,0.431111111,0.808888889,0.662222222,0.893333333,1,0.475555556,0.866666667,0.675555556,1,1,1,0.591111111,0.928888889,1,0.702222222,1,0.742222222,0.226666667,0.808888889,1,1,0.231111111,1,1,1,0.853333333,0.48,0.462222222,1
2016-04-01 06:00:00,0.857777778,0.253333333,0.075555556,0.022222222,0.377777778,0.466666667,0.631111111,0.266666667,0.088888889,0.266666667,0.173333333,0.324444444,1,0.128888889,1,0.626666667,0.671111111,0.084444444,0.64,0.133333333,0.053333333,0.666666667,1,0.444444444,0.395555556,0.506666667,0.4,1,0.484444444,0.311111111,0.502222222,0.328888889,0.817777778,0.497777778,0.382222222,0.546666667,0.151111111,0.466666667,0.448888889,1,0.524444444,0.844444444,0.302222222,0.444444444,0.324444444,0.288888889,0.453333333,1,0.408888889,0.097777778,0.551111111,0.462222222,0.555555556,0.608888889,0.622222222,0.946666667,0.24,0.573333333,0.351111111,0.111111111,0.186666667,0.457777778,0.284444444,0.244444444,1,1
2016-04-01 06:15:00,0.648888889,0.311111111,0.506666667,0.382222222,0.791111111,0.453333333,0.453333333,1,0.204444444,0.577777778,0.991111111,0.844444444,1,0.448888889,0.817777778,0,0.653333333,0.288888889,0.32,0.693333333,0.822222222,0.857777778,0.44,0.782222222,0.275555556,0.782222222,0,0.751111111,0.657777778,0.151111111,1,0.324444444,0.506666667,0.951111111,0.573333333,0.24,0.062222222,0.493333333,0.844444444,0.506666667,0.324444444,0.226666667,0.382222222,0.497777778,0.928888889,0.582222222,1,1,0.826666667,0.675555556,0.728888889,0.568888889,0.893333333,0.337777778,0.297777778,0.564444444,1,0.257777778,0.471111111,0,0.306666667,0.733333333,0.875555556,0.808888889,0.346666667,0.871111111
2016-04-01 06:30:00,0.551111111,0,0.537777778,0,0.4,0.568888889,0.644444444,0.364444444,0.662222222,0.346666667,0.431111111,0.355555556,0.702222222,0.355555556,0.382222222,0.146666667,0.026666667,0.484444444,0.017777778,0.457777778,0.155555556,0.546666667,0.986666667,0.448888889,0.195555556,0.257777778,0,0.28,0.551111111,0.871111111,0.102222222,0.626666667,0.422222222,0.733333333,0.444444444,0.32,0.226666667,0.671111111,0.586666667,0.377777778,0.106666667,0.231111111,0.097777778,0.288888889,0.391111111,1,0.213333333,1,0.084444444,0.2,0.777777778,0.942222222,0.426666667,0.773333333,0.688888889,0.04,0.537777778,0,0.235555556,0.608888889,0.515555556,0.728888889,0.502222222,0.648888889,0.124444444,1
2016-04-01 06:45:00,1,0.084444444,0.84,0.475555556,0.671111111,1,0.888888889,1,0.244444444,0.155555556,0.768888889,0.764444444,1,0.208888889,0.68,0.533333333,0.573333333,0.12,0.36,0.804444444,0.151111111,1,1,0.595555556,0.284444444,0.497777778,0.284444444,0.626666667,0.924444444,0.635555556,0.951111111,1,0.235555556,0.76,1,0.733333333,0.631111111,0.488888889,1,0.497777778,0.831111111,0.097777778,0.577777778,0.804444444,0.591111111,0.662222222,0.742222222,1,0.48,0.484444444,0.835555556,0.457777778,0.942222222,0.591111111,0.782222222,0.871111111,1,0.297777778,0.44,0.044444444,0,0.124444444,1,0.604444444,0.791111111,1
2016-04-01 07:00:00,0.751111111,0.204444444,0.164444444,0.235555556,0,0.786666667,0.293333333,0.253333333,0.088888889,0.333333333,0.444444444,0,0.568888889,0,0,0,0,0.328888889,0.164444444,0.093333333,0,0.871111111,0.831111111,0.52,0.088888889,0.355555556,0.062222222,0.408888889,0.017777778,0.573333333,0.071111111,0.604444444,0.546666667,0.2,1,0.706666667,0.351111111,0.64,0.204444444,0.257777778,0.488888889,0.511111111,0.177777778,0.386666667,0.284444444,0.315555556,0.208888889,0.622222222,0.16,0.626666667,0.062222222,0.777777778,0.462222222,0.128888889,0.16,0.551111111,0.257777778,0.124444444,0.253333333,0.151111111,0.328888889,0.595555556,0.204444444,0.52,0.04,0.617777778
2016-04-01 07:15:00,0.32,0,0.622222222,0.52,0.306666667,0.284444444,0.897777778,1,0,0.444444444,0.853333333,0.284444444,1,0.266666667,0,0.08,0,0.897777778,0.106666667,0.6,0,0,0.413333333,0.568888889,0.644444444,0.208888889,0,0.906666667,0.404444444,0.551111111,0,0.155555556,0.24,0,1,1,0.257777778,0.826666667,0.293333333,0.213333333,0.422222222,0.608888889,0.528888889,0.293333333,0.448888889,0.017777778,0.502222222,0.44,0.013333333,0.066666667,0.377777778,0.942222222,0.511111111,0.026666667,0.324444444,0.391111111,0.28,0.542222222,0.053333333,0,0.28,0.435555556,0.911111111,0.36,0.933333333,0.226666667
