Delivery Date,Hour Ending,day ahead price
2016-04-10,16:00:00,39.01833333
2016-04-10,17:00:00,29.37166667
2016-04-10,18:00:00,26.04333333
2016-04-10,19:00:00,23.95333333
2016-04-10,20:00:00,23.18833333
2016-04-10,21:00:00,20.39583333
2016-04-10,22:00:00,17.59
2016-04-10,23:00:00,15.63583333
2016-04-11,00:00:00,14.9825
2016-04-11,01:00:00,12.72916667
2016-04-11,02:00:00,12.04583333
2016-04-11,03:00:00,11.885
2016-04-11,04:00:00,13.08333333
2016-04-11,05:00:00,15.15416667
2016-04-11,06:00:00,19.73083333
2016-04-11,07:00:00,19.26583333
2016-04-11,08:00:00,18.84166667
2016-04-11,09:00:00,19.66416667
2016-04-11,10:00:00,20.52833333
2016-04-11,11:00:00,22.2
2016-04-11,12:00:00,23.77583333
2016-04-11,13:00:00,28.21333333
2016-04-11,14:00:00,33.05833333
2016-04-11,15:00:00,40.81666667
2016-04-11,16:00:00,43.71166667
2016-04-11,17:00:00,33.91
2016-04-11,18:00:00,30.1025
2016-04-11,19:00:00,25.6425
2016-04-11,20:00:00,24.07833333
2016-04-11,21:00:00,21.83
2016-04-11,22:00:00,19.88583333
2016-04-11,23:00:00,17.91333333
2016-04-12,00:00:00,17.08
2016-04-12,01:00:00,15.54833333
2016-04-12,02:00:00,14.55166667
2016-04-12,03:00:00,14.44083333
2016-04-12,04:00:00,15.12916667
2016-04-12,05:00:00,17.1525
2016-04-12,06:00:00,21.01
2016-04-12,07:00:00,19.39583333
2016-04-12,08:00:00,20.45916667
2016-04-12,09:00:00,21.54666667
2016-04-12,10:00:00,22.96916667
2016-04-12,11:00:00,24.75833333
2016-04-12,12:00:00,25.485
2016-04-12,13:00:00,31.675
2016-04-12,14:00:00,37.06
2016-04-12,15:00:00,50.26333333
2016-04-12,16:00:00,45.26583333
2016-04-12,17:00:00,32.72166667
2016-04-12,18:00:00,28.60416667
2016-04-12,19:00:00,25.26666667
2016-04-12,20:00:00,23.615
2016-04-12,21:00:00,21.61333333
2016-04-12,22:00:00,19.80833333
2016-04-12,23:00:00,17.77583333
2016-04-13,00:00:00,16.19833333
2016-04-13,01:00:00,14.76
2016-04-13,02:00:00,13.8775
2016-04-13,03:00:00,13.73166667
2016-04-13,04:00:00,14.19166667
2016-04-13,05:00:00,16.1
2016-04-13,06:00:00,19.54666667
2016-04-13,07:00:00,19.20666667
2016-04-13,08:00:00,19.61333333
2016-04-13,09:00:00,20.88583333
2016-04-13,10:00:00,21.91666667
2016-04-13,11:00:00,22.96416667
2016-04-13,12:00:00,24.71583333
2016-04-13,13:00:00,26.43083333
2016-04-13,14:00:00,27.6375
2016-04-13,15:00:00,31.4175
2016-04-13,16:00:00,32.54416667
2016-04-13,17:00:00,29.65583333
2016-04-13,18:00:00,27.02833333
2016-04-13,19:00:00,24.27416667
2016-04-13,20:00:00,22.56583333
2016-04-13,21:00:00,19.79166667
2016-04-13,22:00:00,18.04
2016-04-13,23:00:00,16.20166667
2016-04-14,00:00:00,15.12666667
2016-04-14,01:00:00,13.29666667
2016-04-14,02:00:00,12.6525
2016-04-14,03:00:00,12.67416667
2016-04-14,04:00:00,13.88583333
2016-04-14,05:00:00,15.5625
2016-04-14,06:00:00,18.96583333
2016-04-14,07:00:00,18.60333333
2016-04-14,08:00:00,18.93083333
2016-04-14,09:00:00,20.14583333
2016-04-14,10:00:00,21.39
2016-04-14,11:00:00,22.85833333
2016-04-14,12:00:00,24.6
2016-04-14,13:00:00,26.35666667
2016-04-14,14:00:00,28.36
2016-04-14,15:00:00,32.76833333
2016-04-14,16:00:00,33.33666667
2016-04-14,17:00:00,28.17666667
2016-04-14,18:00:00,26.53416667
2016-04-14,19:00:00,24.00083333
2016-04-14,20:00:00,22.14666667
2016-04-14,21:00:00,20.44583333
2016-04-14,22:00:00,18.74166667
2016-04-14,23:00:00,16.85333333
2016-04-15,00:00:00,14.97416667
2016-04-15,01:00:00,13.54666667
2016-04-15,02:00:00,12.8725
2016-04-15,03:00:00,12.87583333
2016-04-15,04:00:00,13.74
2016-04-15,05:00:00,15.19833333
2016-04-15,06:00:00,19.02666667
2016-04-15,07:00:00,18.41
2016-04-15,08:00:00,18.66916667
2016-04-15,09:00:00,20.205
2016-04-15,10:00:00,21.08833333
2016-04-15,11:00:00,23.6025
2016-04-15,12:00:00,25.73583333
2016-04-15,13:00:00,27.94833333
2016-04-15,14:00:00,31.8075
2016-04-15,15:00:00,38.45166667
2016-04-15,16:00:00,37.83166667
2016-04-15,17:00:00,30.25916667
2016-04-15,18:00:00,28.29916667
2016-04-15,19:00:00,25.48166667
2016-04-15,20:00:00,22.66583333
2016-04-15,21:00:00,20.79916667
2016-04-15,22:00:00,18.625
2016-04-15,23:00:00,17.19083333
2016-04-16,00:00:00,14.37083333
2016-04-16,01:00:00,13.12833333
2016-04-16,02:00:00,11.87166667
2016-04-16,03:00:00,11.43416667
2016-04-16,04:00:00,12.45583333
2016-04-16,05:00:00,14.86833333
2016-04-16,06:00:00,17.19
2016-04-16,07:00:00,17.87666667
2016-04-16,08:00:00,18.50416667
2016-04-16,09:00:00,19.63083333
2016-04-16,10:00:00,20.54416667
2016-04-16,11:00:00,22.08916667
2016-04-16,12:00:00,23.9325
2016-04-16,13:00:00,25.52333333
2016-04-16,14:00:00,28.72333333
2016-04-16,15:00:00,33.44166667
2016-04-16,16:00:00,33.97583333
2016-04-16,17:00:00,28.45333333
2016-04-16,18:00:00,27.3175
2016-04-16,19:00:00,24.16
2016-04-16,20:00:00,22.575
2016-04-16,21:00:00,20.80416667
2016-04-16,22:00:00,18.66083333
2016-04-16,23:00:00,16.82333333
2016-04-17,00:00:00,14.5575
2016-04-17,01:00:00,12.765
2016-04-17,02:00:00,12.1575
2016-04-17,03:00:00,11.975
2016-04-17,04:00:00,12.88
2016-04-17,05:00:00,14.56083333
2016-04-17,06:00:00,16.60083333
2016-04-17,07:00:00,17.86833333
2016-04-17,08:00:00,18.825
2016-04-17,09:00:00,20.175
2016-04-17,10:00:00,21.20916667
2016-04-17,11:00:00,23.53833333
2016-04-17,12:00:00,25.59166667
2016-04-17,13:00:00,28.98666667
2016-04-17,14:00:00,32.25416667
2016-04-17,15:00:00,39.7825
2016-04-17,16:00:00,39.54583333
2016-04-17,17:00:00,29.46
2016-04-17,18:00:00,27.52916667
2016-04-17,19:00:00,23.94
2016-04-17,20:00:00,23.755
2016-04-17,21:00:00,21.3925
2016-04-17,22:00:00,18.3625
2016-04-17,23:00:00,16.85416667
2016-04-18,00:00:00,15.32583333
2016-04-18,01:00:00,14.5325
2016-04-18,02:00:00,13.94333333
2016-04-18,03:00:00,13.81083333
2016-04-18,04:00:00,14.54083333
2016-04-18,05:00:00,16.03583333
2016-04-18,06:00:00,19.38583333
2016-04-18,07:00:00,19.64166667
2016-04-18,08:00:00,19.46833333
2016-04-18,09:00:00,20.75916667
2016-04-18,10:00:00,22.78333333
2016-04-18,11:00:00,25.03833333
2016-04-18,12:00:00,26.875
2016-04-18,13:00:00,31.52416667
2016-04-18,14:00:00,36.425
2016-04-18,15:00:00,47.605
2016-04-18,16:00:00,53.77333333
2016-04-18,17:00:00,31.77916667
2016-04-18,18:00:00,31.0025
2016-04-18,19:00:00,27.43666667
2016-04-18,20:00:00,27.74333333
2016-04-18,21:00:00,23.66
2016-04-18,22:00:00,19.52166667
2016-04-18,23:00:00,17.53833333
2016-04-19,00:00:00,16.2325
2016-04-19,01:00:00,15.03083333
2016-04-19,02:00:00,14.91
2016-04-19,03:00:00,14.90416667
2016-04-19,04:00:00,15.83583333
2016-04-19,05:00:00,18.14666667
2016-04-19,06:00:00,27.63333333
2016-04-19,07:00:00,28.52916667
2016-04-19,08:00:00,24.07916667
2016-04-19,09:00:00,24.67083333
2016-04-19,10:00:00,25.17166667
2016-04-19,11:00:00,26.06333333
2016-04-19,12:00:00,27.54333333
2016-04-19,13:00:00,32.24666667
2016-04-19,14:00:00,37.4525
2016-04-19,15:00:00,45.57
2016-04-19,16:00:00,49.00833333
2016-04-19,17:00:00,32.7925
2016-04-19,18:00:00,30.95
2016-04-19,19:00:00,28.32
2016-04-19,20:00:00,25.53
2016-04-19,21:00:00,22.65166667
2016-04-19,22:00:00,19.95166667
2016-04-19,23:00:00,18.65166667
2016-04-20,00:00:00,17.09916667
2016-04-20,01:00:00,16.0425
2016-04-20,02:00:00,15.69333333
2016-04-20,03:00:00,15.575
