datetime,R,B,0,0
2016-04-01 19:45:00,-0.5625755711705754,4.376055107798819,0,0
2016-04-01 20:00:00,-0.541360469332383,4.6178964566905885,0,0
2016-04-01 20:15:00,-0.541360469332383,4.6178964566905885,0,0
2016-04-01 20:30:00,-0.541360469332383,4.6178964566905885,0,0
2016-04-01 20:45:00,-0.541360469332383,4.6178964566905885,0,0
2016-04-01 21:00:00,-0.5342958709993096,8.2254647868574,0,0
2016-04-01 21:15:00,-0.5342958709993096,8.2254647868574,0,0
2016-04-01 21:30:00,-0.5342958709993096,8.2254647868574,0,0
2016-04-01 21:45:00,-0.5342958709993096,8.2254647868574,0,0
2016-04-01 22:00:00,-0.4064735917757131,11.47150187290263,0,0
2016-04-01 22:15:00,-0.4064735917757131,11.47150187290263,0,0
